mycode|label
const int ledPin1 = 2;const int ledPin2 = 3;const int ledPin3 = 4;void setup() { pinMode(2, OUTPUT); pinMode(3, OUTPUT); pinMode(4, OUTPUT); digitalWrite(2, HIGH); digitalWrite(3, HIGH); digitalWrite(4, HIGH); }|correct
void setup() { pinMode(2, OUTPUT); pinMode(3, OUTPUT); pinMode(4, OUTPUT); digitalWrite(2, HIGH); }|incorrect
void setup() { pinMode(2, OUTPUT); pinMode(3, OUTPUT); pinMode(4, OUTPUT); digitalWrite(2, HIGH); digitalWrite(3, LOW); digitalWrite(4, HIGH); delay(1000); digitalWrite(2, LOW); digitalWrite(3, HIGH); digitalWrite(4, LOW); delay(1000); }|correct
void setup() { pinMode(2, OUTPUT); pinMode(3, OUTPUT); pinMode(4, OUTPUT); digitalWrite(2, HIGH); delay(1000); digitalWrite(2, LOW); delay(1000); digitalWrite(3, HIGH); delay(1000); digitalWrite(3, LOW); delay(1000); digitalWrite(4, HIGH); delay(1000); digitalWrite(4, LOW); delay(1000); }|incorrect
const int ledPin1 = 2;const int ledPin2 = 3;const int ledPin3 = 4;void setup() { pinMode(2, OUTPUT); pinMode(3, OUTPUT); pinMode(4, OUTPUT); digitalWrite(2, HIGH); digitalWrite(3, HIGH); digitalWrite(4, HIGH); }|correct
void setup() { pinMode(2, OUTPUT); pinMode(3, OUTPUT); pinMode(4, OUTPUT); digitalWrite(2, HIGH); digitalWrite(3, HIGH); digitalWrite(4, HIGH); }|incorrect
void setup() { pinMode(2, INPUT); digitalWrite(2, HIGH); }|incorrect
void setup() { pinMode(10, OUTPUT); digitalWrite(10, HIGH); }|incorrect
void setup() { pinMode(2, OUTPUT); digitalWrite(2, HIGH); delay(2000); }|incorrect
void setup() { }|incorrect
void setup() { pinMode(2, OUTPUT); pinMode(3, OUTPUT); }|incorrect
void setup() { digitalWrite(2, HIGH); delay(1000); }|incorrect
const int ledPin1 = 2;const int ledPin2 = 3;const int ledPin3 = 4;void setup(){pinMode(ledPin1, OUTPUT);pinMode(ledPin2, OUTPUT);pinMode(ledPin3, OUTPUT);}void loop(){digitalWrite(ledPin1, HIGH);digitalWrite(ledPin2, LOW);digitalWrite(ledPin3, LOW);delay(1000);digitalWrite(ledPin1, LOW);digitalWrite(ledPin2, HIGH);digitalWrite(ledPin3, LOW);delay(1000);digitalWrite(ledPin1, LOW);digitalWrite(ledPin2, LOW);digitalWrite(ledPin3, HIGH);delay(1000);}|correct
const int ledPin1 = 7;const int ledPin2 = 8;const int ledPin3 = 9;void setup(){pinMode(ledPin1, OUTPUT);pinMode(ledPin2, OUTPUT);pinMode(ledPin3, OUTPUT);}void loop(){digitalWrite(ledPin1, HIGH);digitalWrite(ledPin2, LOW);digitalWrite(ledPin3, LOW);delay(1000);digitalWrite(ledPin1, LOW);digitalWrite(ledPin2, HIGH);digitalWrite(ledPin3, LOW);delay(1000);digitalWrite(ledPin1, LOW);digitalWrite(ledPin2, LOW);digitalWrite(ledPin3, HIGH);delay(1000);}|incorrect
void setup(){pinMode(1, OUTPUT);pinMode(2, OUTPUT);pinMode(3, OUTPUT);}void loop(){digitalWrite(1, HIGH);digitalWrite(2, LOW);digitalWrite(3, LOW);delay(1000);digitalWrite(1, LOW);digitalWrite(2, HIGH);digitalWrite(3, LOW);delay(1000);digitalWrite(1, LOW);digitalWrite(2, LOW);digitalWrite(3, HIGH);delay(1000);}|correct